"Inventar-Nr","Status","Hersteller","Modell","Kurzbezeichnung","Objekttyp","Farbe","Seriennummer","Kaufdatum","Einkaufspreis","Gerätefoto","Standort","Bereich","Unterkategorie","Zuständige Person","Vorbesitzer","Zustandshinweis"
"0415","Verfügbar","Logitech","Bluetooth Audio Reciever","Bluetooth Audio Receiver","Audio-Interface","Schwarz","2416GG00CY38","15.07.2024","33,27","IMG_0999.jpg",,"[""Medientechnik""]","[""Audio""]",,,
"0420","Verfügbar","Swissonic","M-Control","Audio USB-Interface","Audio-Interface","Silber","(21)74288ECC00006","20.09.2024","45,00","IMG_1044.jpg",,"[""Medientechnik""]","[""Audio""]",,,
"0423","Verfügbar","Blackmagic Design","Decklink Duo 2","Decklink Duo 2","Video-Interface","Schwarz",,,,"IMG_1676.jpg",,"[""Medientechnik""]","[""Video""]",,,"Videokarte ist in 3D-Druck-Gehäuse eingebaut"
"0424","Verfügbar","Yamaha","MG06",,"Audio-Mixer","Schwarz","EGXJ01656",,"60,00","IMG_1724.jpg","Lager","[""Medientechnik""]","[""Audio""]",,,"gebraucht gekauft (Kleinanzeigen)"
"0421","Verfügbar","NEC","MultiSync M651","Bildschirm","Bildschirm","Schwarz","1Z004116NB",,,"Reserved_ImageAttachment_[11]_[DevicePhoto][8]_[IMG_1653][1]_[1].jpg","Videostudio","[""Medientechnik""]","[""Video""]",,,
"0422","Verfügbar","NEC","MultiSync M551","Bildschirm","Bildschirm","Schwarz","26011315NB",,,"Reserved_ImageAttachment_[11]_[DevicePhoto][8]_[IMG_1083][1]_[1].jpg","Lager","[""Medientechnik""]","[""Video""]",,,
"0472","Verfügbar","RGBlink","LCD-RMS8424S","Bildschirm","Bildschirm","Schwarz","PR842400044361","10.04.2025","70,00","Reserved_ImageAttachment_[11]_[DevicePhoto][32]_[bcfda9e267594923ad55ebc63f61ed50][1]_[1].jpg",,"[""Medientechnik""]","[""Video""]",,,"Gebraucht gekauft (Frühjahrsputz Lang AG)"
"0474","Verfügbar","LYNX","CHD 1802-1","HDMI to SDI Converter","Converter HDMI to SDI","Gelb","100008180207225",,,"Reserved_ImageAttachment_[11]_[DevicePhoto][32]_[4737310a122f4b1a9849639dfbef21b4][1]_[1].jpg",,"[""Medientechnik""]","[""Video""]",,,
"0477","Verfügbar","Blackmagic Design","MicroConverter BiDirectional SDI/HDMI 12G","BiDirectional Converter HDMI/SDI","Converter Video","Grau","11647884","10.04.2025","70,00","Reserved_ImageAttachment_[11]_[DevicePhoto][32]_[a1339ea361fb4d9a8fcc197d241b24d2][1]_[1].jpg",,"[""Medientechnik""]","[""Video""]",,,"Gebraucht gekauft (Frühjahrsputz Lang AG)"
"0476","Verfügbar","Blackmagic Design","Mini Converter SDI to HDMI","SDI to HDMI Converter","Converter SDI to HDMI","Grau",,,,"Reserved_ImageAttachment_[11]_[DevicePhoto][32]_[62e22354fb8f48cb9f1dbaaefd49ad85][1]_[1].jpg",,"[""Medientechnik""]","[""Video""]",,,
"0475","Verfügbar","Blackmagic Design","Mini Converter SDI to HDMI","SDI to HDMI Converter","Converter SDI to HDMI","Grau",,,,"Reserved_ImageAttachment_[11]_[DevicePhoto][32]_[cce5f630c8be406c949620c7e9d003c3][1]_[1].jpg",,"[""Medientechnik""]","[""Video""]",,,
"0478","Verfügbar","Blackmagic Design","Mini Converter SDI to HDMI","SDI to HDMI Converter","Converter SDI to HDMI","Grau","1310355",,,"Reserved_ImageAttachment_[11]_[DevicePhoto][32]_[71597f8dee39478c8118a54af1595880][1]_[1].jpg",,"[""Medientechnik""]","[""Video""]",,,
"0479","Verfügbar","Cypress","PRO-H2-3GSDI","HDMI to SDI Converter","Converter HDMI to SDI","Schwarz","201303080001","10.04.2025","5,00","Reserved_ImageAttachment_[11]_[DevicePhoto][32]_[db79f155bdaa4cdfad8665f195d55326][1]_[1].jpg",,"[""Medientechnik""]","[""Video""]",,,"Gebraucht gekauft (Frühjahrsputz Lang AG)"
"0480","Verfügbar","Cypress","PRO-H2-3GSDI","HDMI to SDI Converter","Converter HDMI to SDI","Schwarz","201303080004","10.04.2025","5,00","Reserved_ImageAttachment_[11]_[DevicePhoto][32]_[a79be8123b2d4f4987e5054f9022fec6][1]_[1].jpg",,"[""Medientechnik""]","[""Video""]",,,"Gebraucht gekauft (Frühjahrsputz Lang AG)"
"0481","Verfügbar","Cypress","PRO-H2-3GSDI","HDMI to SDI Converter","Converter HDMI to SDI","Schwarz","201403250015","10.04.2025","5,00","Reserved_ImageAttachment_[11]_[DevicePhoto][32]_[7e82dbf7254f4755af49a62bda6a0ffe][1]_[2].jpg",,"[""Medientechnik""]","[""Video""]",,,"Gebraucht gekauft (Frühjahrsputz Lang AG)"
"0482","Verfügbar","Cypress","PRO-H2-3GSDI","HDMI to SDI Converter","Converter HDMI to SDI","Schwarz","201711240007","10.04.2025","5,00","Reserved_ImageAttachment_[11]_[DevicePhoto][32]_[82d4fcccd88c4cc2befc43ea30f26d09][1]_[3].jpg",,"[""Medientechnik""]","[""Video""]",,,"Gebraucht gekauft (Frühjahrsputz Lang AG)"
"0483","Verfügbar","Cypress","PRO-H2-3GSDI","HDMI to SDI Converter","Converter HDMI to SDI","Schwarz","201711240011","10.04.2025","5,00","Reserved_ImageAttachment_[11]_[DevicePhoto][32]_[92eb203a06ba4fb3928044ca7c8c93dc][1]_[3].jpg",,"[""Medientechnik""]","[""Video""]",,,"Gebraucht gekauft (Frühjahrsputz Lang AG)"
"0484","Verfügbar","Cypress","PRO-H2-3GSDI","HDMI to SDI Converter","Converter HDMI to SDI","Schwarz","201712150002","10.04.2025","5,00","Reserved_ImageAttachment_[11]_[DevicePhoto][32]_[ba8a4e1d95ba4cc589dd67509b10ff5e][1]_[3].jpg",,"[""Medientechnik""]","[""Video""]",,,"Gebraucht gekauft (Frühjahrsputz Lang AG)"
"0485","Verfügbar","Cypress","PRO-H2-3GSDI","HDMI to SDI Converter","Converter HDMI to SDI","Schwarz","201712150003","10.04.2025","5,00","Reserved_ImageAttachment_[11]_[DevicePhoto][32]_[272439b27c4c4c59825b94567fd37b9d][1]_[3].jpg",,"[""Medientechnik""]","[""Video""]",,,"Gebraucht gekauft (Frühjahrsputz Lang AG)"
"0486","Verfügbar","Cypress","PRO-H2-3GSDI","HDMI to SDI Converter","Converter HDMI to SDI","Schwarz","201712150004","10.04.2025","5,00","Reserved_ImageAttachment_[11]_[DevicePhoto][32]_[37c09a05f3714ba1abf7c290261d707f][1]_[3].jpg",,"[""Medientechnik""]","[""Video""]",,,"Gebraucht gekauft (Frühjahrsputz Lang AG)"
"0493","Verfügbar","Røde","Wireless Go",,"Drahtlos-Mikrofonsystem","Schwarz","FL0418879; FM0418879","19.11.2021","173,74","Reserved_ImageAttachment_[11]_[DevicePhoto][32]_[4d36570ce3bc4a188fdcfd21377b169e][1]_[2].jpg","UG11 Lager Videoproduktion","[""Medientechnik""]","[""Videoproduktion""]",,,
"0494","Verfügbar","Røde","Wireless Go II",,"Drahtlos-Mikrofonsystem","Schwarz","GD0292496; GP0292496; GE0292496",,,"Reserved_ImageAttachment_[11]_[DevicePhoto][32]_[4c86de0af1aa413a9b51ce781c840036][1]_[1].jpg","UG11 Lager Videoproduktion","[""Medientechnik""]","[""Videoproduktion""]",,,
"0495","Verfügbar","Røde","Wireless ME",,"Drahtlos-Mikrofonsystem","Schwarz","II0218179; IJ0218179","08.05.2025","129,00","Reserved_ImageAttachment_[11]_[DevicePhoto][32]_[f241b8f8c96045d99f4eaef1b56a01f7][1]_[2].jpg","E102 Büro John Görzen","[""Medientechnik""]","[""Videoproduktion""]","John Markus Görzen | EF-Köln",,
"0498","Verfügbar","Blackmagic Design","MiniConverter UpDownCross","Scaler","Converter Video","Grau","1275076","10.04.2025","25,00","Reserved_ImageAttachment_[11]_[DevicePhoto][32]_[f9f69355b76f453489a2b337715874f6][1]_[1].jpg","UG10 Lager 2 - Rollcase Kleingeräte","[""Medientechnik""]","[""Video""]",,,"Gebraucht gekauft (Frühjahrsputz Lang AG)"
"0760","Verfügbar","DJI","Osmo Mobile 7P","Gimbal","Zubehör Videokamera","Grau","95BVM254213049ZT","15.09.2025","140,78","Reserved_ImageAttachment_[11]_[DevicePhoto][32]_[d873bf49feb44d938a83381a0ceace40][1]_[2].jpg","Lager Videoproduktion","[""Medientechnik""]","[""Videoproduktion""]",,,
"0761","Verfügbar","Røde","Rode Boompole","Tonangel","Stativ","Schwarz",,"05.09.2025","112,00","Reserved_ImageAttachment_[11]_[DevicePhoto][32]_[7e97209d0c5d42fcba8b8418bb0bfce5][1]_[2].jpg","Lager Videoproduktion","[""Medientechnik""]","[""Videoproduktion""]",,,
"0763","Verfügbar","Blackmagic Design","Mini Converter SDI to HDMI","Converter SDI to HDMI","Converter SDI to HDMI","Grau",,,,"Reserved_ImageAttachment_[11]_[DevicePhoto][32]_[6a464b9f4edb4e3da2e01b9f8573cb68][1]_[1].jpg","UG10 Lager 2","[""Medientechnik""]","[""Video""]",,,
"0764","Verfügbar","Manfrotto","126BSU","Heavy Duty Stativ","Stativ Licht","Schwarz",,,,"Reserved_ImageAttachment_[11]_[DevicePhoto][32]_[ce4099e64ce545259e0f53e45c6a032c][1]_[1].jpg",,"[""Medientechnik""]","[""Licht""]",,,
"0765","Verfügbar","Manfrotto","126BSU","Heavy Duty Stativ","Stativ Licht","Schwarz",,,,"Reserved_ImageAttachment_[11]_[DevicePhoto][32]_[2693846e367b48b0b4d33915662e3da3][1]_[1].jpg",,"[""Medientechnik""]","[""Licht""]",,,
"0766","Verfügbar","Manfrotto","126BSU","Heavy Duty Stativ","Stativ Licht","Schwarz",,,,"Reserved_ImageAttachment_[11]_[DevicePhoto][32]_[e8d036b996b74ba5859bd14f6ac58783][1]_[2].jpg",,"[""Medientechnik""]","[""Licht""]",,,
"0767","Verfügbar","Manfrotto","126BSU","Heavy Duty Stativ","Stativ Licht","Schwarz",,,,"Reserved_ImageAttachment_[11]_[DevicePhoto][32]_[821f689fc95f47cf8331e542eb62c225][1]_[2].jpg",,"[""Medientechnik""]","[""Licht""]",,,
"0768","Verfügbar","Manfrotto","126BSU","Heavy Duty Stativ","Stativ Licht","Schwarz",,,,"Reserved_ImageAttachment_[11]_[DevicePhoto][32]_[bcf3bdc6392e4734bdc400c2c5595a26][1]_[2].jpg",,"[""Medientechnik""]","[""Licht""]",,,
